source_type,source_label,phone_feedback_topic,sample_count,source_total_count,feedback_total_count,source_ratio,topic_ratio,avg_sentiment_score
comment,评论,外观设计,30,1947,245,0.0154,0.1224,0.7109
danmaku,弹幕,外观设计,4,3523,41,0.0011,0.0976,0.7228
comment,评论,影像相机,58,1947,245,0.0298,0.2367,0.704
danmaku,弹幕,影像相机,21,3523,41,0.006,0.5122,0.5208
comment,评论,性能散热,10,1947,245,0.0051,0.0408,0.7566
danmaku,弹幕,性能散热,1,3523,41,0.0003,0.0244,0.468
comment,评论,屏幕手感,6,1947,245,0.0031,0.0245,0.3712
comment,评论,续航充电,7,1947,245,0.0036,0.0286,0.3808
comment,评论,系统功能,4,1947,245,0.0021,0.0163,0.5136
danmaku,弹幕,系统功能,3,3523,41,0.0009,0.0732,0.1143
comment,评论,价格购买,63,1947,245,0.0324,0.2571,0.5649
danmaku,弹幕,价格购买,4,3523,41,0.0011,0.0976,0.3228
comment,评论,竞品对比,67,1947,245,0.0344,0.2735,0.7679
danmaku,弹幕,竞品对比,8,3523,41,0.0023,0.1951,0.7165
